id,reference,shortTitle,dossierSummary,publications_count
13524,Ares(2022)5197949,List of air carriers banned from operating or subject to operational restrictions within the Union,Article 8 of Regulation (EC) No 2111/2005 obliges the Commission to adopt detailed rules in respect of the procedures for updating the list of air carriers that are banned from operating or subject to operational restrictions within the Union. The Commission is now introducing rules on the “Conduct of non-commercial flights by air carriers subject to an operating ban” as well as on the exercise of the conditions for the exercise of the right of defence.,3
13682,Ares(2023)118476,Ecodesign for Sustainable Products - Product priorities,"The Commission’s recent proposal on Ecodesign for Sustainable Products aims to make products sold in the EU more sustainable, by setting performance and information-related requirements on them. 
To set priorities in a transparent and inclusive way, the Commission intends to launch a public consultation on the categories of new products and measures  on which priority action should be taken. ",4
13761,Ares(2023)1486139,Common logos for data intermediaries and data altruism organisations recognised in the EU,"This Implementing Regulation, set up under the Data Governance Act, introduces common logos to help stakeholders easily identify data intermediation services providers and data altruism organisations recognised in the EU.

These organisations shall display the common logo clearly on every online and offline publication that relates to their activities. 

Such EU trust marks would differentiate recognised trust services from other services, thus contributing to transparency in the market. ",3
13796,Ares(2023)2189183,Guidelines on exclusionary abuses of dominance,"The initiative aims to increase legal certainty for the application of Article 102 TFEU on the prohibition of abuses of a dominant market position, by systematically looking at the the case law and fostering the harmonised enforcement of this Article by the Commission and the national competition authorities as well as its application by national courts.",2
13845,Ares(2023)3564276,Update of standards for the 112-based eCall in-vehicle systems,"All new types of passenger cars and vans are equipped with eCall. This is the system that automatically dials the European emergency number 112 in the event of a serious road accident and helps saving lives. Currently, eCall systems work over 2G/3G networks. Given that these networks are to be switched off in the coming years, this initiative sets out provisions for the transition of eCall to 4G/5G network.",3
13863,Ares(2023)3884568,Amendment of the EU ETS Monitoring and Reporting Regulation (MRR) in response to the ETS revision/Fit For 55 ,"In the framework of the 'Fit for 55' package, the EU ETS Directive has been revised with the EU target set out in the European Climate Law to reduce net greenhouse gas (GHG) emissions by 55% by 2030, compared to 1990 levels. Following the revision of the EU ETS Directive, the European Commission needs to update several regulatory acts for the implementation of the EU ETS. One of these acts will update the rules for Monitoring and Reporting of emissions.",3
13915,Ares(2023)4787732,Revision of the Commission Guidelines on State aid in the aviation sector (airports and airlines),"This initiative aims to revise the State aid Aviation Guidelines and to align them with the objectives of the Green Deal, while preserving connectivity and supporting competition in the aviation sector. ",4
13967,Ares(2023)6233396,"Amend rules for design of permits, certificates and other documents (CITES)","The 19th meeting of the Conference of the Parties (CoP) to the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES), held in Panama in November 2022, adopted decisions on various aspects of international wildlife trade. 
This initiative will align relevant EU legislation with the CoP decisions to amend the design of permits, certificates and other documents provided for in Council Regulation 338/97.",2
14026,Ares(2023)7655377,Measures related to specific plant pests - Agrilus planipennis,,2
14622,Ares(2025)2746797,Digital Fairness Act,"The 2024 digital fairness Fitness Check identified gaps in consumer protection online. Taking into account the existing EU digital rulebook, this initiative aims to tackle problematic practices such as unfair commercial practices related to dark patterns, misleading marketing by influencers, addictive design of digital products and unfair personalisation practices. It aims also to ensure a level playing field for online traders, facilitate enforcement and introduce potential simplification.",3
